2883:808,823,819,820,821,822,824
1301:808,823,819,820,821,822,824
8722:808,823,819,820,821,822,824
11769:808,823,819,820,821,822,824
1197:808,823,819,820,821,822,824
6746:808,823,819,820,821,822,824
849:808,823,819,820,821,822,824
12658:813,1209,1205,1206,1207,1208,1210
1275:808,823,819,820,821,822,824
10034:3175,3177,3177,3177,3177,3177,3178
1201:808,823,819,820,821,822,824
751:808,823,819,820,821,822,824
1265:808,823,819,820,821,822,824
1401:813,1209,1205,1206,1207,1208,1210
1357:808,823,819,820,821,822,824
13143:1421,1426,1422,1423,1424,1425,1427
11791:813,1209,1205,1206,1207,1208,1210
3840:808,823,819,820,821,822,824
9084:813,1209,1205,1206,1207,1208,1210
12357:808,823,819,820,821,822,824
1271:808,823,819,820,821,822,824
1395:813,1209,1205,1206,1207,1208,1210
1295:808,823,819,820,821,822,824
4982:2061,823,2060,2060,2060,2060,824
4983:2061,823,2060,2060,2060,2060,824
4984:2061,823,2060,2060,2060,2060,824
4985:2061,823,2060,2060,2060,2060,824
4755:2061,823,2060,2060,2060,2060,824
1191:808,823,819,820,821,822,824
1303:808,823,819,820,821,822,824
1409:813,1209,1205,1206,1207,1208,1210
1397:813,1209,1205,1206,1207,1208,1210
1279:808,823,819,820,821,822,824
2476:808,823,819,820,821,822,824
35:808,823,819,820,821,822,824
2474:808,823,819,820,821,822,824
12829:808,823,819,820,821,822,824
2667:808,823,819,820,821,822,824
10129:808,823,819,820,821,822,824
9703:808,823,819,820,821,822,824
12612:808,823,819,820,821,822,824
3122:808,823,819,820,821,822,824
12373:813,1209,1205,1206,1207,1208,1210
6607:808,823,819,820,821,822,824
1299:808,823,819,820,821,822,824
1419:847,823,819,820,821,822,824
2416:808,823,819,820,821,822,824
4912:813,1209,1205,1206,1207,1208,1210
1273:808,823,819,820,821,822,824
1355:808,823,819,820,821,822,824
9046:813,1209,1205,1206,1207,1208,1210
1283:808,823,819,820,821,822,824
12297:808,823,819,820,821,822,824
3096:808,823,819,820,821,822,824
12377:808,823,819,820,821,822,824
2464:808,823,819,820,821,822,824
8740:808,823,819,820,821,822,824
2402:808,823,819,820,821,822,824
11259:6604,6611,6607,6608,6610,6609,6603
4937:2074,823,2076,2076,2076,2076,2077
12424:808,823,819,820,821,822,824
11920:808,823,819,820,821,822,824
13243:808,823,819,820,821,822,824
12796:813,1209,1205,1206,1207,1208,1210
3101:808,823,819,820,821,822,824
6522:808,823,819,820,821,822,824
6317:808,823,819,820,821,822,824
8841:808,823,819,820,821,822,824
11705:3677,823,3680,3680,3680,3680,824
1311:2561,823,2562,2562,2562,2562,2563
5690:808,823,819,820,821,822,824
8714:808,823,819,820,821,822,824
4217:808,823,819,820,821,822,824
4216:808,823,819,820,821,822,824
4910:813,1209,1205,1206,1207,1208,1210
1389:813,1209,1205,1206,1207,1208,1210
837:4591,823,4226,4227,821,822,4228
3841:808,823,819,820,821,822,824
9705:808,823,819,820,821,822,824
6541:808,823,819,820,821,822,824
1213:808,823,819,820,821,822,824
1205:808,823,819,820,821,822,824
1319:2561,823,2562,2562,2562,2562,2563
13109:808,823,819,820,821,822,824
4984:2061,823,2060,2060,2060,2060,824
